date,log_ebu_mgCH4_m2_d,ebu_mgCH4_m2_d,log_ebu_mgCH4_m2_d_1,ebu_mgCH4_m2_d_1,temp_b_avg,chla_minus_1
5/15/17,-1.142564176,0.319,-4.542707913,0.010644543,16.66878819,
5/22/17,-0.539568093,0.583,-5.107365326,0.006052007,16.83938269,
5/29/17,-1.190403344,0.304098583,-6.529681923,0.00145947,17.78673438,
6/5/17,0.606847608,1.834638773,-1.190403344,0.304098583,19.02691295,
6/12/17,1.769898089,5.870255087,0.606847608,1.834638773,21.10464112,
6/19/17,2.839365474,17.10490858,1.769898089,5.870255087,22.37701761,
6/26/17,3.395300249,29.82360664,2.839365474,17.10490858,22.28717063,
7/3/17,3.698255404,40.37680167,3.395300249,29.82360664,23.44528175,
7/10/17,4.456974704,86.22625417,3.698255404,40.37680167,23.85698859,
7/17/17,4.163047256,64.26706271,4.456974704,86.22625417,24.44213021,
7/24/17,4.591399026,98.63232287,4.163047256,64.26706271,24.47835317,
7/31/17,5.220687878,185.06144,4.591399026,98.63232287,24.11245833,
8/7/17,4.274048451,71.81177437,5.220687878,185.06144,24.16416146,
8/14/17,4.1322157,62.3158433,4.274048451,71.81177437,24.89259003,
8/22/17,3.966888245,52.81991222,4.1322157,62.3158433,22.71919916,
9/4/17,1.701340947,5.481292589,3.966888245,52.81991222,20.54580828,
9/11/17,2.149374038,8.579486284,1.701340947,5.481292589,19.6347371,
9/18/17,2.963019943,19.35633862,2.149374038,8.579486284,20.96640675,
9/25/17,2.667730877,14.40724027,2.963019943,19.35633862,21.97590951,
10/2/17,2.591175958,13.34545608,2.667730877,14.40724027,19.54978345,
10/9/17,2.721717036,15.20640979,2.591175958,13.34545608,20.67098345,
10/16/17,2.908419727,18.32781272,2.721717036,15.20640979,18.60934852,
10/23/17,0.307772013,1.360390802,2.908419727,18.32781272,16.24353001,
5/27/19,1.547003997,4.697375726,-2.302585093,0.1,17.19521381,
