date,log_ebu_mgCH4_m2_d,ebu_mgCH4_m2_d,log_ebu_mgCH4_m2_d_1,ebu_mgCH4_m2_d_1,temp_b_avg,SE
2017-05-15,-1.142564176,0.319,-4.542707913,0.010644543,16.66878819,0.007768216
2017-05-22,-0.539568093,0.583,-5.107365326,0.006052007,16.83938269,0.1787234
2017-05-29,-1.190403344,0.304098583,-6.529681923,0.00145947,17.78673438,0.304098583
2017-06-05,0.606847608,1.834638773,-1.190403344,0.304098583,19.02691295,0.78603744
2017-06-12,1.769898089,5.870255087,0.606847608,1.834638773,21.10464112,2.809838033
2017-06-19,2.839365474,17.10490858,1.769898089,5.870255087,22.37701761,6.449048453
2017-06-26,3.395300249,29.82360664,2.839365474,17.10490858,22.28717063,10.56020491
2017-07-03,3.698255404,40.37680167,3.395300249,29.82360664,23.44528175,22.26386721
2017-07-10,4.456974704,86.22625417,3.698255404,40.37680167,23.85698859,36.4580518
2017-07-17,4.163047256,64.26706271,4.456974704,86.22625417,24.44213021,27.77122991
2017-07-24,4.591399026,98.63232287,4.163047256,64.26706271,24.47835317,29.7864929
2017-07-31,5.220687878,185.06144,4.591399026,98.63232287,24.11245833,36.94703514
2017-08-07,4.274048451,71.81177437,5.220687878,185.06144,24.16416146,32.57805022
2017-08-14,4.1322157,62.3158433,4.274048451,71.81177437,24.89259003,32.63547173
2017-08-22,3.966888245,52.81991222,4.1322157,62.3158433,22.71919916,32.69289324
2017-09-04,1.701340947,5.481292589,3.966888245,52.81991222,20.54580828,5.481292588
2017-09-11,2.149374038,8.579486284,1.701340947,5.481292589,19.6347371,5.782248136
2017-09-18,2.963019943,19.35633862,2.149374038,8.579486284,20.96640675,5.840330261
2017-09-25,2.667730877,14.40724027,2.963019943,19.35633862,21.97590951,8.797629052
2017-10-02,2.591175958,13.34545608,2.667730877,14.40724027,19.54978345,7.648356371
2017-10-09,2.721717036,15.20640979,2.591175958,13.34545608,20.67098345,6.17059634
2017-10-16,2.908419727,18.32781272,2.721717036,15.20640979,18.60934852,7.855594935
2017-10-23,0.307772013,1.360390802,2.908419727,18.32781272,16.24353001,0.916132131
