trap_id,date,log_ebu_rate_mg_m2_d
t1eb1,2019-05-27,-1.785258123
t1eb1,2019-05-27,-1.688390101
t1eb2,2019-05-27,3.037707369
t1eb2,2019-05-27,2.772244579
t1eb3,2019-05-27,
t1eb3,2019-05-27,
t1eb4,2019-05-27,-1.46371651
t1eb4,2019-05-27,-1.943543219
t1eb4,2019-06-03,-2.200207518
t1eb4,2019-06-03,-2.200207518
t1eb3,2019-06-03,
t1eb3,2019-06-03,
t1eb2,2019-06-03,3.682585793
t1eb2,2019-06-03,3.779724371
t1eb1,2019-06-03,0.408550855
t1eb1,2019-06-03,0.511170598
t1eb1,2019-06-10,1.174808487
t1eb1,2019-06-10,1.026578422
t1eb2,2019-06-10,4.099911309
t1eb2,2019-06-10,4.233897604
t1eb3,2019-06-10,
t1eb3,2019-06-10,
t1eb4,2019-06-10,0.571960831
t1eb4,2019-06-10,0.6131731
t1eb1,2019-06-17,1.523620875
t1eb1,2019-06-17,1.574591
t1eb2,2019-06-17,3.844657367
t1eb2,2019-06-17,3.951000111
t1eb3,2019-06-17,
t1eb3,2019-06-17,
t1eb4,2019-06-17,1.568484576
t1eb4,2019-06-17,1.78075619
t1eb4,2019-06-24,3.01427526
t1eb4,2019-06-24,2.926703108
t1eb3,2019-06-24,-4.044864605
t1eb3,2019-06-24,
t1eb2,2019-06-24,3.879797918
t1eb2,2019-06-24,3.987468936
t1eb1,2019-06-24,2.397512035
t1eb1,2019-06-24,2.348013899
t1eb1,2019-07-01,3.470102935
t1eb1,2019-07-01,3.456308738
t1eb2,2019-07-01,4.394705019
t1eb2,2019-07-01,4.454600978
t1eb3,2019-07-01,-1.036297148
t1eb3,2019-07-01,-1.099354787
t1eb4,2019-07-01,3.834882361
t1eb4,2019-07-01,3.808300677
t1eb1,2019-07-08,4.020309122
t1eb1,2019-07-08,4.171906893
t1eb2,2019-07-08,4.63246514
t1eb2,2019-07-08,4.699517092
t1eb3,2019-07-08,1.299187684
t1eb3,2019-07-08,1.345332343
t1eb4,2019-07-08,4.083497325
t1eb4,2019-07-08,4.001178953
t1eb1,2019-07-15,4.131522106
t1eb1,2019-07-15,4.187437969
t1eb2,2019-07-15,4.817506149
t1eb2,2019-07-15,4.688149808
t1eb3,2019-07-15,2.464433641
t1eb3,2019-07-15,2.471639418
t1eb4,2019-07-15,4.160154393
t1eb4,2019-07-15,4.150671737
t1eb1,2019-07-22,2.727066638
t1eb1,2019-07-22,2.706208798
